Disponibilité intérieure,Aliments pour animaux,Semences,Pertes,Traitement,Nourriture,Autres utilisations (non alimentaire)
895.0,,,,,895.0,
,,,,,,
9.0,,,,,9.0,
44.0,,,2.0,42.0,,
34.0,,,,,34.0,
916.0,,,68.0,,848.0,
189.0,,,,,189.0,
185.0,,,,,186.0,
,,,,,,
1414.0,,,,,1414.0,
49.0,,,,,49.0,
,,,,,,
87.0,,,,,87.0,
364.0,,,,,230.0,134.0
,,,,,,
377.0,,,,,,377.0
-24.0,,,,,,
41.0,,,1.0,,40.0,
,,,,,,
213.0,,23.0,7.0,181.0,2.0,
442.0,250.0,121.0,44.0,,27.0,
572.0,,,40.0,,532.0,
4.0,,,,,4.0,
38.0,,,,,38.0,
1833.0,,,,,1833.0,
5251.0,,534.0,424.0,,4273.0,19.0
75.0,,,,,75.0,
4.0,,,,,4.0,
49.0,,,,,49.0,
63.0,,,,,63.0,
267.0,,,91.0,,176.0,
10.0,,,,,10.0,
13.0,,,,,13.0,
4.0,,,,,4.0,
42.0,21.0,1.0,1.0,,19.0,
,,,,,,
279.0,,,,,279.0,
40.0,,,,,40.0,
592.0,,,86.0,,508.0,
,,,,,,
19.0,,,,19.0,,
290.0,,30.0,,84.0,,175.0
2626.0,,9.0,32.0,2584.0,,
105.0,,,,,81.0,24.0
21.0,,10.0,2.0,,9.0,
-113.0,,,,4.0,,20.0
3.0,,,,,3.0,
2.0,,,,,2.0,
7.0,,,,,5.0,1.0
4.0,,,,,4.0,
2.0,,,,,2.0,
25.0,,,,,25.0,
3.0,,,,,,3.0
7.0,,,,,,7.0
2119.0,,,,,118.0,2001.0
,,,,,,
445.0,,,,,445.0,
,,,,,,
,,,,,,
8481.0,273.0,,49.0,,8085.0,74.0
1937.0,,,268.0,,1670.0,
24.0,,3.0,1.0,,19.0,
202.0,90.0,,16.0,,78.0,18.0
7881.0,4923.0,280.0,516.0,464.0,433.0,1266.0
2.0,,,,,2.0,
5.0,4.0,,,,,
,,,,,,
36.0,,,,,36.0,
18.0,,,,,18.0,
552.0,,52.0,28.0,,472.0,
515.0,,,22.0,,493.0,
91.0,,,,87.0,4.0,
970.0,,,82.0,,888.0,
676.0,13.0,139.0,144.0,380.0,,
,,,,,,
170.0,,,12.0,,158.0,
405.0,,,32.0,,372.0,
109.0,,,,,109.0,
4.0,,,,,4.0,
1.0,,,,,,1.0
71.0,,1.0,5.0,75.0,,
12.0,,4.0,1.0,,7.0,
9.0,,,,,9.0,
,,,,,,
71.0,8.0,,,,63.0,
2.0,,,,,2.0,
925.0,,,87.0,20.0,817.0,
1700.0,,64.0,200.0,,1361.0,74.0
,,,,,,
2567.0,,,145.0,2378.0,44.0,
452.0,,26.0,62.0,,364.0,
52.0,34.0,16.0,2.0,,,
36608.0,986.0,1088.0,493.0,34041.0,,
1375.0,1288.0,15.0,73.0,,,
1734.0,,,,16.0,1717.0,
23700.0,,,50.0,23650.0,,
1.0,,,,,1.0,
209.0,,,,,210.0,
765.0,,,69.0,,696.0,
65.0,,,,,65.0,
2589.0,,,289.0,,2300.0,
435.0,,,,,435.0,
1602.0,,,,,1602.0,
52.0,,,9.0,,43.0,
1177.0,,,139.0,,1038.0,
3.0,,,,,3.0,
17.0,,,,,14.0,3.0
1.0,,,,,1.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1.0,,,,,1.0,
6.0,4.0,,,,1.0,
2.0,,,,,2.0,
8.0,,,,,8.0,
5.0,,,,,5.0,
19.0,,,,,19.0,
554.0,93.0,30.0,32.0,10.0,389.0,
1.0,,,,,1.0,
,,,,,,
12.0,,,,,12.0,
,,,,,,
1.0,,,,,1.0,
,,,,,,
,,,,,,
,,,,,,
21.0,1.0,1.0,1.0,,6.0,12.0
,,,,,,
5.0,,,,,5.0,
7.0,,,,,7.0,
206.0,,,19.0,,187.0,
,,,,,,
,,,,,,
2.0,,,,2.0,,
